Price,MPG,passenger_capacity,passenger_door,weight_lbs,passenger_volume_ft3,wheelbase_in,trach_width_front_in,height_in,fuel_tank_gal,sae_net_torque_rpm,sae_net_horsepower_rpm,Displacement,trans_type,airbag_frontal_driver,airbag_frontal_passenger,airbag_passenger_switch_onoff,airbag_side_body_front,airbag_side_body_rear,aibag_side_head_front,aibag_side_head_rear,brakes_abs,child_safety_doorlocks_rear,daytime_running_lights,traction_control,night_vision,rollover_protection_bars,fog_lamps,parking_aid,tire_pressure_motor,backup_camera,stability_control,Mileage,basic_years,corrosion_miles_km,corrosion_years,Drivetrain_Years,Curb_to,road_size,Make,front_wid,ratio,rim,Engine_Electric,Engine_Flat,Engine_I6,Engine_l3,Engine_l4,Engine_l5,Engine_l6,Engine_V6,Engine_V8,Engine_V10,Engine_V12,Engine_W8,Engine_W12,Drivetrain_4WD,Drivetrain_AWD,Drivetrain_FWD,Drivetrain_RWD,Category_Car,Category_Pickup,Category_SUV,Category_Van
40600,22,5,4,3790,104,108,64,66,17,280,272,2,10,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,235,55,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
45500,22,5,4,3829,104,108,64,66,17,280,272,2,10,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,235,55,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
43600,22,5,4,3821,104,108,64,66,17,280,272,2,10,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,255,45,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37400,22,5,4,3783,104,108,64,66,17,280,272,2,10,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,235,55,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
42600,21,5,4,4026,104,108,64,66,17,280,272,2,10,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,235,55,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
47500,21,5,4,4068,104,108,64,66,17,280,272,2,10,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,235,55,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
45600,21,5,4,4015,104,108,64,66,17,280,272,2,10,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,255,45,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37500,19,5,4,3902,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
41000,20,5,4,3772,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
39700,20,5,4,3768,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
